SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,EQCode,EQCriteriaCode,Section,EQCriteriaSectionHeader,EQCriteriaType,EQCriteriaDescription,Sequence
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAAC01,A,Short-answer questions,Assessment Criteria,"Use metalanguage to describe and analyse structures, features and functions of language in a range of contexts",1
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAAC02,A,,Assessment Criteria,Explain and analyse linguistic features of written and spoken English in a range of registers,2
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAAC03,A,,Assessment Criteria,Understand and analyse relationships between language and identities in society,3
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAAC04,A,,Assessment Criteria,Identify and analyse differing attitudes to varieties of Australian English,4
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAAC05,A,,Assessment Criteria,Draw on contemporary discussions and debates about language,5
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQA,VCEEL12EQAAC06,A,,Assessment Criteria,Write clearly organised responses with controlled and effective use of language appropriate to the task,6
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQBAC01,B,Analytical commentary,Assessment Criteria,"Use metalanguage to describe and analyse structures, features and functions of language in a range of contexts",1
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQBAC02,B,,Assessment Criteria,Explain and analyse linguistic features of written and spoken English in a range of registers,2
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQBAC03,B,,Assessment Criteria,Understand and analyse relationships between language and identities in society,3
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQBAC04,B,,Assessment Criteria,Identify and analyse differing attitudes to varieties of Australian English,4
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQBAC05,B,,Assessment Criteria,Draw on contemporary discussions and debates about language,5
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQBAC06,B,,Assessment Criteria,Write clearly organised responses with controlled and effective use of language appropriate to the task,6
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQCAC01,C,Essay,Assessment Criteria,"Use metalanguage to describe and analyse structures, features and functions of language in a range of contexts",1
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQCAC02,C,,Assessment Criteria,Explain and analyse linguistic features of written and spoken English in a range of registers,2
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQCAC03,C,,Assessment Criteria,Understand and analyse relationships between language and identities in society,3
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQCAC04,C,,Assessment Criteria,Identify and analyse differing attitudes to varieties of Australian English,4
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQCAC05,C,,Assessment Criteria,Draw on contemporary discussions and debates about language,5
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQCAC06,C,,Assessment Criteria,Write clearly organised responses with controlled and effective use of language appropriate to the task,6
